recommendationid,author,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,hidden_in_steam_china,steam_china_location
166338507,"{'steamid': '76561198846772214', 'num_games_owned': 0, 'num_reviews': 18, 'playtime_forever': 727, 'playtime_last_two_weeks': 0, 'playtime_at_review': 727, 'last_played': 1682696465}",koreana,이게 왜 고티임 진짜모름,1717080187,1717080187,True,0,0,0,0,True,False,False,True,
166311125,"{'steamid': '76561198108227135', 'num_games_owned': 0, 'num_reviews': 4, 'playtime_forever': 7065, 'playtime_last_two_weeks': 0, 'playtime_at_review': 7065, 'last_played': 1714067807}",koreana,명작,1717034580,1717034580,True,0,0,0,0,True,False,False,True,
166245434,"{'steamid': '76561199679672489', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 6446, 'playtime_last_two_weeks': 3685, 'playtime_at_review': 5938, 'last_played': 1717089688}",koreana,미칠듯한 호그와트 퀄리티를 느낄 수 있다 디테일이랑 이스터에그까지 훑어보는 재미가 있음 호그와트만큼은 아니지만 호그스미드도 잘뽑힘 타격감 괜찮고 콤보 넣는게 재밌음 난이도 순한맛이라 어려움난이도로 발컨들도 엔딩보는데 문제없음 나머지 마을들은 급하게 채워넣은 느낌 그마을이 그마을같음 스토리는 그닥 엔피씨랑 상호작용이 별로 없는게 매우 아쉬움 빗자루 조작감 탈것 탄채로 아래위 시야 볼수 없는거 빡침 낮은울타리도 못넘어가는거 많아서 짜증 장비 강화하는 맛이,1716937406,1716937406,True,0,0,0,0,True,False,False,True,
166171024,"{'steamid': '76561199034293114', 'num_games_owned': 116, 'num_reviews': 15, 'playtime_forever': 3750, 'playtime_last_two_weeks': 1649, 'playtime_at_review': 3750, 'last_played': 1716829301}",koreana,재밌음,1716829699,1716829699,True,0,0,0,0,True,False,False,True,
166154632,"{'steamid': '76561198820650152', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 1012, 'playtime_last_two_weeks': 99, 'playtime_at_review': 913, 'last_played': 1716822698}",koreana,딱총나무 지팡이 만들어줘,1716808856,1716808856,True,0,0,0,0,True,False,False,True,
166142185,"{'steamid': '76561198258918482', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 3117, 'playtime_last_two_weeks': 0, 'playtime_at_review': 3117, 'last_played': 1699974332}",koreana,갓겜,1716783704,1716783704,True,0,0,0,0,True,False,False,True,
166078871,"{'steamid': '76561198316584442', 'num_games_owned': 0, 'num_reviews': 5, 'playtime_forever': 3673, 'playtime_last_two_weeks': 2516, 'playtime_at_review': 3673, 'last_played': 1716662790}",koreana,옛날부터 해보고 싶었던 게임이었는데 마침 여자친구가 선물로 사줘서 플레이 해보았는데 정말 재밌었네요 옛날부터 해리포터 관련 영화나 소설 챙겨봤어서 호그와트 레거시 세계관도 굉장히 궁금했었는데 몰랐던 소재의 내용을 확인 할 수 있어서 너무 좋았네요 그래픽도 그래픽대로 너무 좋았고 캐릭터 모션감도 생하여 굉장히 좋았습니다 원래 혼자하는 게임을 좋아하는 편인 분들은 더욱 재밌께 플레이 할 수 있을지 않을까 싶습니다 평점 만점 점 그래픽 점 분위기 점,1716699769,1716699769,True,0,0,0,0,True,True,False,True,
166038449,"{'steamid': '76561197991001667', 'num_games_owned': 0, 'num_reviews': 21, 'playtime_forever': 386, 'playtime_last_two_weeks': 386, 'playtime_at_review': 260, 'last_played': 1716718560}",koreana,와우 재밌어요 출근전에 시간 넘게 해봤는데 말이 필요없군요 인치 풀옵기준 프레임 드랍현상이 좀 있지만 할만합니다 따봉이 다섯개 현재 그린게이밍 쿠폰적용시 원이니 얼른 구입해서 스팀등록하고 사용하세요 참고로 일반판 구입하시길 나머진 돈값 못한다고합니다,1716650244,1716711036,True,0,0,0.476190477609634399,0,False,False,False,True,
166007297,"{'steamid': '76561198126742075', 'num_games_owned': 0, 'num_reviews': 6, 'playtime_forever': 1577, 'playtime_last_two_weeks': 1577, 'playtime_at_review': 823, 'last_played': 1716809982}",koreana,사놓고 안하고 있다가 게임패드 생긴김에 해봤는데 꽤 재밌어요 다만 빗자루 경주 기록 세우고 싶으면 그냥 키마로 하는게 마음이 편하네요,1716606860,1716606860,True,0,0,0,0,True,False,False,True,
165971879,"{'steamid': '76561199438520337', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 2183, 'playtime_last_two_weeks': 913, 'playtime_at_review': 1868, 'last_played': 1716730319}",koreana,개꿀잼,1716561361,1716561361,True,0,0,0,0,True,False,False,True,
